WO,Date,MatCode,Value,Contractor,GL.Account
70004119,01/03/14,11201702,497.3,,2699599215
70004114,01/03/14,11207385,5.8,,2699599215
70004114,01/03/14,11206904,6.6,,2699599215
70004152,01/07/14,91101775,0,,
70004152,01/07/14,11207209,9.9,,2699599215
70004152,01/07/14,11206913,3,,2699599215
70004119,01/07/14,11206903,13.5,,2699599215
70004126,01/07/14,91100225,0,,
70004126,01/07/14,11206904,6.6,,2699599215
80007037,01/13/16,11204955,976.7,,2699599215
80007037,01/13/16,11206904,6.6,,2699599215
70004655,01/13/16,11207385,8.6,,2699599215
80011936,01/16/19,11207358,2724,,2699549215
80011936,01/16/19,11207359,4123.4,,2699549215
80011936,01/16/19,11207773,2904.2,,2699549215
80011936,01/16/19,11202088,357,,2699549215
80011936,01/16/19,11202840,617.5,,2699549215
80011936,01/16/19,11203377,1274.8,,2699549215
80011936,01/16/19,11202052,139.9,,2699549215
80011936,01/16/19,11202841,780,,2699549215
80011936,01/16/19,11203027,166.7,,2699549215
80011936,01/16/19,91100945,0,,
80011936,01/16/19,91100759,0,,
80011936,01/16/19,11205445,196,,2699549215
80011936,01/16/19,91101659,0,,
80011953,01/16/19,91100625,0,,
80007044,01/11/16,11206478,809.6,,2699599215
80007044,01/11/16,11206479,1793,,2699599215
80007044,01/11/16,11206476,5063.9,,2699599215
80007044,01/11/16,91102088,0,,
80007044,01/11/16,91102089,0,,
80011944,01/17/19,11206907,4.8,,2699599215
80011944,01/17/19,11206903,9,,2699599215
80011944,01/17/19,11206907,4.8,,2699599215
80007037,01/13/16,11206908,10.8,,2699599215
70004665,01/13/16,11206903,9,,2699599215
70004665,01/13/16,11206904,6.6,,2699599215
70004504,01/19/15,91101775,0,,
80011952,01/16/19,11206908,37.8,,2699599215
80011948,01/16/19,11206904,6.6,,2699599215
70004114,01/07/14,11207144,42.6,,2699599215
70004114,01/07/14,11201702,55.3,,2699599215
70004114,01/07/14,91100534,0,,
80011947,01/15/19,11206903,6.7,,2699599215
80011947,01/15/19,11206947,2.1,,2699599215
70004130,01/08/14,11207213,6.2,,2699599215
70004130,01/08/14,11206903,4.5,,2699599215
70004138,01/08/14,11207001,9,,2699599215
